node_id,latitude,longitude,elevation,street_count,highway,ref
1434992492,-20.1892544,-44.9366072,,3,,
1434992494,-20.1602506,-44.9158561,,3,,
1434992498,-20.1795983,-44.9209922,,3,,
1434992499,-20.1660485,-44.9198824,,3,,
1434992500,-20.2008168,-44.9468689,,3,,
1434992507,-20.1840719,-44.9218854,,3,,
1434992509,-20.1879356,-44.9222562,,3,,
1434992510,-20.2014111,-44.941421,,4,,
1511920575,-20.1601478,-44.91574,,3,,
1511920580,-20.1759281,-44.9208882,,4,,
1511920586,-20.1758542,-44.9211958,,3,,
1511920589,-20.1587404,-44.9155207,,3,,
1511920592,-20.1770485,-44.9210156,,3,,
1688051087,-20.1644553,-44.9157414,,1,,
1688051088,-20.1613941,-44.9151259,,1,,
1688051090,-20.15914,-44.9138539,,3,traffic_signals,
1688051092,-20.1641366,-44.903978,,3,,
1688051094,-20.1649494,-44.9042402,,3,,
1736099400,-20.1602317,-44.9103584,,4,,
1736099401,-20.1604344,-44.9096667,,4,,
1736099402,-20.1606771,-44.9089931,,4,,
1736099403,-20.1608951,-44.9083247,,4,,
1736099404,-20.1611099,-44.9076664,,4,,
1736099405,-20.1613914,-44.9068038,,4,,
1736099406,-20.161536,-44.9146651,,4,,
1736099407,-20.1616235,-44.9116373,,4,,
1736099408,-20.1616687,-44.9059536,,4,,
1736099409,-20.1618445,-44.9109637,,4,,
1736099410,-20.1619611,-44.9050739,,4,,
1736099411,-20.162069,-44.910253,,4,,
1736099412,-20.1622294,-44.9042348,,4,,
1736099413,-20.162296,-44.9095876,,4,,
1736099414,-20.1623377,-44.9149368,,4,,
1736099415,-20.1624287,-44.9119384,,4,,
1736099416,-20.1625147,-44.908921,,4,,
1736099417,-20.1625276,-44.90336,,4,,
1736099418,-20.1626489,-44.9112656,,4,,
1736099419,-20.1627304,-44.9082637,,4,,
1736099420,-20.1628668,-44.9105556,,4,,
1736099421,-20.1630136,-44.9074004,,4,,
1736099422,-20.1631015,-44.9098834,,4,,
1736099423,-20.1632289,-44.9122378,,4,,
1736099424,-20.1632923,-44.9065513,,4,,
1736099425,-20.1633195,-44.9092174,,4,,
1736099426,-20.1634505,-44.9115665,,4,,
1736099427,-20.1635347,-44.9085602,,4,,
1736099428,-20.1636682,-44.9108586,,4,,
1736099429,-20.1638176,-44.9076961,,4,,
1736099430,-20.1638591,-44.9048305,,4,,
1736099431,-20.1639082,-44.9101796,,4,,
